,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Size_type
48213,35,2259900.0,6.0,5.0,0.0,Semi-detached House (Corner),5856.0,1,land area 
48214,9,685000.0,3.0,2.0,3.0,Condominium,1213.0,1,land area 
48215,38,400000.0,2.0,2.0,1.0,Serviced Residence,900.0,1,land area 
48216,46,1100000.0,5.0,3.0,0.0,1-sty Terrace/Link House (Intermediate),2000.0,1,land area 
48217,11,1900000.0,5.0,5.0,3.0,Semi-detached House,3500.0,3,land area 
48218,11,2100000.0,5.0,5.0,0.0,Semi-detached House,4000.0,3,land area 
48219,46,1750000.0,4.0,3.0,0.0,2-sty Terrace/Link House,2200.0,3,built-up 
48220,0,2500000.0,7.0,6.0,3.0,Bungalow,7190.0,3,land area 
48221,0,2500000.0,7.0,7.0,3.0,Bungalow (Corner),7922.0,3,land area 
48222,48,400000.0,1.0,1.0,1.0,Serviced Residence,670.0,1,built-up 
48223,0,1590000.0,3.0,2.0,0.0,Condominium,2000.0,0,land area 
48224,44,2680000.0,6.0,6.0,0.0,Semi-detached House (Corner),40.0,1,land area 
48225,48,350000.0,1.0,1.0,1.0,Serviced Residence,657.0,1,built-up 
48227,26,1300000.0,2.0,2.0,2.0,Condominium (Corner),969.0,0,built-up 
48228,11,410000.0,1.0,1.0,1.0,Serviced Residence (Corner),610.0,0,built-up 
48229,44,430000.0,2.0,1.0,1.0,Serviced Residence,578.0,1,built-up 
48230,9,980000.0,3.0,2.0,2.0,Serviced Residence,1218.0,2,built-up 
48231,20,690000.0,4.0,2.0,2.0,Condominium,1073.0,1,built-up 
48232,35,740000.0,4.0,3.0,2.0,Condominium (Intermediate),1262.0,1,built-up 
48233,28,1390000.0,3.0,3.0,0.0,Condominium,1550.0,0,built-up 
48234,30,3100000.0,5.0,4.0,0.0,Condominium,3668.0,3,built-up 
48235,30,1500000.0,5.0,4.0,0.0,Condominium,3200.0,1,built-up 
48236,21,320000.0,3.0,2.0,1.0,Condominium,1024.0,3,built-up 
48237,11,3650000.0,6.0,6.0,0.0,Bungalow,8471.0,1,land area 
48238,30,2855000.0,7.0,7.0,0.0,Condominium,4550.0,1,built-up 
48239,41,420000.0,3.0,2.0,0.0,2-sty Terrace/Link House (Intermediate),900.0,1,built-up 
48240,48,520000.0,4.0,2.0,1.0,Serviced Residence,900.0,3,built-up 
48241,19,775000.0,4.0,2.0,4.0,Condominium,1271.0,0,built-up 
48242,45,1500000.0,4.0,4.0,0.0,Townhouse (Intermediate),2720.0,1,land area 
48243,11,14300000.0,16.0,20.0,8.0,Bungalow (Corner),18137.0,1,land area 
48244,44,480000.0,3.0,2.0,1.0,Condominium (Intermediate),1258.0,0,built-up 
48245,12,5409600.0,6.0,6.0,4.0,Serviced Residence,6769.0,0,built-up 
48246,10,1630000.0,4.0,3.0,2.0,Condominium (Intermediate),2300.0,0,built-up 
48247,48,520000.0,4.0,2.0,1.0,Serviced Residence,900.0,3,built-up 
48248,11,568000.0,3.0,2.0,1.0,Serviced Residence,920.0,0,built-up 
48249,11,580000.0,3.0,2.0,1.0,Serviced Residence,920.0,2,built-up 
48250,11,600000.0,3.0,2.0,1.0,Serviced Residence,920.0,2,built-up 
48251,11,670000.0,3.0,2.0,1.0,Serviced Residence,920.0,0,built-up 
48252,44,640000.0,3.0,2.0,1.0,Serviced Residence,935.0,2,built-up 
48253,44,500000.0,2.0,2.0,1.0,Serviced Residence,715.0,1,built-up 
48254,44,550000.0,2.0,2.0,1.0,Serviced Residence,715.0,0,built-up 
48255,44,799000.0,3.0,2.0,0.0,Serviced Residence,945.0,0,built-up 
48256,44,550000.0,2.0,2.0,1.0,Serviced Residence,715.0,1,built-up 
48257,44,510000.0,3.0,2.0,1.0,Condominium (EndLot),1250.0,1,built-up 
48258,28,750000.0,2.0,1.0,0.0,Serviced Residence,915.0,1,built-up 
48259,11,660000.0,4.0,3.0,2.0,2-sty Terrace/Link House (Intermediate),1200.0,1,land area 
48260,9,606000.0,4.0,3.0,2.0,Condominium (Intermediate),1300.0,1,built-up 
48262,11,1350000.0,6.0,3.0,0.0,Bungalow,3200.0,0,land area 
48263,23,748000.0,3.0,2.0,0.0,1-sty Terrace/Link House,1430.0,3,land area 
48264,28,2000000.0,2.0,2.0,1.0,Serviced Residence (Intermediate),1076.0,0,built-up 
48265,35,550000.0,3.0,2.0,2.0,Condominium (Intermediate),1381.0,1,built-up 
48266,30,1100000.0,2.0,2.0,1.0,Serviced Residence (Intermediate),932.0,0,built-up 
48267,30,720000.0,3.0,2.0,1.0,Condominium (Corner),1019.0,0,built-up 
48268,35,720000.0,4.0,3.0,2.0,Condominium (Intermediate),1893.0,1,built-up 
48269,20,650000.0,3.0,2.0,1.0,Condominium,1215.0,1,built-up 
48270,23,680000.0,4.0,3.0,0.0,1-sty Terrace/Link House,1870.0,3,land area 
48271,11,360000.0,3.0,2.0,1.0,Serviced Residence (Intermediate),950.0,1,built-up 
48272,29,510000.0,3.0,2.0,2.0,Serviced Residence (Corner),936.0,0,built-up 
